sentence1	sentence2	simalarty
Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	0
Einer der Söhne wurde aus der <Entity>Villa</Entity> geführt	"Mit einem Polizei-Panzer rammten sie unter anderem den Zugang zur <Entity>Villa in
Leverkusen</Entity> auf, sprengten die Eingangstür."	1
Al-Zeins wohnen weiterhin in der <Entity>Villa</Entity>	"Mit einem Polizei-Panzer rammten sie unter anderem den Zugang zur <Entity>Villa in
Leverkusen</Entity> auf, sprengten die Eingangstür."	1
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	1
"Der Torso des Monteurs wurde am 23. November 2020 in einer <Entity>Pankower Grünanlage</Entity>
gefunden."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer Stefan R. (41) aus <Entity>Pankow</Entity> einen Sexualmord aus niedrigen
Beweggründen vor."	0.5
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	1
"<Entity>Edith Blum</Entity> an
den schweren Schädelverletzungen und an Unterkühlung."	"<Entity>Edith Blum</Entity> soll am 13. Januar im Bereich der Treveris-Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	1
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
